,index,location,date_start,date_25pc,date_50pc,gdp_per_capita,gdpgrp
0,0,Afghanistan,2021-05-27,,,1803.987,group 1
1,1,Albania,2021-01-13,2021-09-16,,11803.431,group 2
2,2,Algeria,2021-01-30,,,13913.839,group 3
3,3,Andorra,2021-04-05,2021-06-21,2021-08-15,,
4,4,Antigua and Barbuda,2021-04-17,2021-06-17,,21490.943,group 3
5,5,Argentina,2021-01-21,2021-08-21,2021-10-04,18933.907,group 3
6,6,Australia,2021-02-21,2021-08-24,2021-10-10,44648.71,group 4
7,7,Austria,2020-12-28,2021-06-15,2021-07-29,45436.686,group 4
8,8,Azerbaijan,2021-03-10,2021-08-27,,15847.419,group 3
9,9,Bahamas,2021-03-14,2021-10-08,,27717.847,group 4
10,10,Bahrain,2020-12-24,2021-04-15,2021-06-16,43290.705,group 4
11,11,Bangladesh,2021-01-27,,,3523.984,group 1
12,12,Barbados,2021-02-16,2021-07-08,,16978.068,group 3
13,13,Belgium,2020-12-29,2021-06-10,2021-07-21,42658.576,group 4
14,14,Belize,2021-03-03,2021-09-20,,7824.362,group 2
15,15,Bhutan,2021-03-27,2021-07-22,2021-07-24,8708.597,group 2
16,16,Bolivia,2021-01-29,2021-09-12,,6885.829,group 2
17,17,Bosnia and Herzegovina,2021-06-25,,,11713.895,group 2
18,18,Botswana,2021-07-10,,,15807.374,group 3
19,19,Brazil,2021-01-17,2021-08-22,2021-10-19,14103.452,group 3
20,20,Brunei,2021-04-03,2021-09-04,2021-10-14,71809.251,group 4
21,21,Bulgaria,2020-12-30,,,18563.307,group 3
22,22,Cambodia,2021-02-10,2021-07-21,2021-08-31,3645.07,group 1
23,23,Cameroon,2021-04-12,,,3364.926,group 1
24,24,Canada,2020-12-15,2021-06-26,2021-07-19,44017.591,group 4
25,25,Cape Verde,2021-06-15,2021-09-30,,6222.554,group 2
26,26,Central African Republic,2021-06-15,,,661.24,group 1
27,27,Chile,2020-12-25,2021-04-12,2021-06-22,22767.037,group 3
28,28,China,2021-03-23,2021-08-12,2021-08-12,15308.712,group 3
29,29,Colombia,2021-02-18,2021-08-05,,13254.949,group 3
30,30,Congo,2021-06-15,,,4881.406,group 2
31,31,Cote d'Ivoire,2021-03-09,,,3601.006,group 1
32,32,Croatia,2021-01-08,2021-06-25,,22669.797,group 3
33,33,Cuba,2021-06-01,2021-08-09,2021-10-07,,
34,34,Cyprus,2021-04-20,2021-06-01,2021-07-29,32415.132,group 4
35,35,Czechia,2020-12-28,2021-06-22,2021-08-16,32605.906,group 4
36,36,Denmark,2020-12-17,2021-06-11,2021-07-24,46682.515,group 4
37,37,Dominica,2021-02-26,2021-06-25,,9673.367,group 2
38,38,Dominican Republic,2021-02-16,2021-06-28,,14600.861,group 3
39,39,Ecuador,2021-01-21,2021-08-12,2021-09-08,10581.936,group 2
40,40,Egypt,2021-05-23,,,10550.206,group 2
41,41,El Salvador,2021-03-18,2021-08-05,2021-09-22,7292.458,group 2
42,42,Estonia,2020-12-28,2021-06-11,2021-09-15,29481.252,group 4
43,43,Eswatini,2021-04-20,,,7738.975,group 2
44,44,Ethiopia,2021-04-29,,,1729.927,group 1
45,45,Fiji,2021-04-16,2021-08-23,2021-10-05,8702.975,group 2
46,46,Finland,2021-01-05,2021-07-13,2021-08-31,40585.721,group 4
47,47,France,2020-12-28,2021-06-21,2021-08-07,38605.671,group 4
48,48,Gabon,2021-06-12,,,16562.413,group 3
49,49,Gambia,2021-08-29,,,1561.767,group 1
50,50,Georgia,2021-04-10,,,9745.079,group 2
